TimestepsSoFar,loss_pol_entpen,loss_kl,EpLenMean,ev_tdlam_before,EpThisIter,loss_vf_loss,loss_ent,EpRewMean,EpisodesSoFar,loss_pol_surr,TimeElapsed
4524,-0.0173842804506,0.0149460653774,904.8,0.00051873922348,,0.096020758152,1.73842805624,-20.4,5,-0.0120097538456,118.16213798522949
5419,-0.0172559181228,0.00626568682492,903.166666667,0.0015389919281,1,0.141002167016,1.72559186816,-20.5,6,-0.00577736832201,124.12534284591675
5419,-0.0170905962586,0.00494478398468,903.166666667,-0.00074827671051,,0.102703610435,1.70905965567,-20.5,6,-0.00842418242246,129.72198796272278
5419,-0.016314574983,0.0158554497175,903.166666667,0.00121349096298,,0.0820011300966,1.63145750761,-20.5,6,-0.0154917221516,135.76536989212036
6268,-0.0171239492483,0.0296289310791,895.428571429,0.000563561916351,1,0.161612931639,1.71239495277,-20.5714285714,7,-0.0178161896765,141.77709698677063
6268,-0.0172811914235,0.0040425977204,895.428571429,-0.00379991531372,,0.128461658955,1.72811919451,-20.5714285714,7,-0.00448548234999,147.620365858078
6268,-0.0173979871906,0.00443255610298,895.428571429,0.00384002923965,,0.111869869754,1.73979872465,-20.5714285714,7,-0.00407465267926,153.1214678287506
6268,-0.0172867421061,0.00383645424154,895.428571429,0.00138694047928,,0.089931210503,1.72867423296,-20.5714285714,7,-0.00617132615298,158.70988082885742
7245,-0.0173444431275,0.00290194392437,905.625,0.00176548957825,1,0.10519603081,1.73444435,-20.625,8,-0.00649785250425,164.43464994430542
7245,-0.0172742228024,0.00968532147817,905.625,-0.00070583820343,,0.0816427152604,1.727422297,-20.625,8,-0.0103730363771,170.21659398078918
7245,-0.0172396972775,0.00397914263885,905.625,0.000679969787598,,0.103050507605,1.72396975756,-20.625,8,-0.00943640246987,175.69948887825012
7245,-0.0173961063847,0.0187960830517,905.625,0.00024151802063,,0.0836122464389,1.7396107018,-20.625,8,-0.0209469357505,181.18441891670227
8303,-0.0173515928909,0.00240811018739,922.555555556,0.000790178775787,1,0.108384132385,1.73515933752,-20.6666666667,9,-0.00196825712919,186.69570994377136
8303,-0.0168861523271,0.0101998546161,922.555555556,0.00282907485962,,0.100244425237,1.68861523271,-20.6666666667,9,-0.0122230630368,192.2670350074768
8303,-0.0164991323836,0.014911834849,922.555555556,0.00633591413498,,0.109177386388,1.6499132514,-20.6666666667,9,-0.00875564757735,197.84613585472107
9180,-0.0162332425825,0.0134666690137,918.0,-0.00502502918243,1,0.170150917023,1.62332430482,-20.7,10,-0.0111567629501,203.62258195877075
9180,-0.016543625854,0.0126026018988,918.0,-0.0011248588562,,0.158126562834,1.65436264873,-20.7,10,-0.0175656815991,209.43793487548828
9180,-0.0159817384556,0.0113069766667,918.0,0.00637221336365,,0.102100020275,1.59817385674,-20.7,10,-0.00509930262342,215.39600586891174
9180,-0.0159623054788,0.0207081749104,918.0,0.0129230618477,,0.0936063360423,1.5962305665,-20.7,10,-0.0276239467785,221.37130999565125
10008,-0.0158523134887,0.018661824055,909.818181818,-3.62396240234e-05,1,0.160861860961,1.58523142338,-20.6363636364,11,-0.0270008537918,227.4206418991089
10008,-0.0149632543325,0.0125954195391,909.818181818,0.00602126121521,,0.0891430713236,1.49632546306,-20.6363636364,11,-0.0172020178288,233.42173790931702
10008,-0.0153674425092,0.00491682766005,909.818181818,0.00730580091476,,0.0875479541719,1.53674429655,-20.6363636364,11,-0.00374236982316,239.59245204925537
10793,-0.0157095878385,0.00656391214579,899.416666667,-0.000201106071472,1,0.163993408903,1.57095885277,-20.6666666667,12,-0.00932081695646,246.0425889492035
10793,-0.015437503811,0.00274121860275,899.416666667,-0.00458204746246,,0.0905272178352,1.54375040531,-20.6666666667,12,-0.00225765258074,252.3517129421234
10793,-0.0165356160142,0.0238114534877,899.416666667,0.00248539447784,,0.0839694179595,1.65356165171,-20.6666666667,12,-0.0119522344321,258.7031970024109
11610,-0.0169563377276,0.0136323545594,893.076923077,0.000204861164093,1,0.212557069957,1.69563382864,-20.6923076923,13,-0.00796479359269,265.133672952652
11610,-0.0166208818555,0.0153397733811,893.076923077,-0.00807332992554,,0.091335461475,1.66208827496,-20.6923076923,13,-0.0259221363813,271.4705858230591
11610,-0.0158713213168,0.0159807903692,893.076923077,0.00152140855789,,0.0811665933579,1.5871321857,-20.6923076923,13,-0.0205425061285,278.0193428993225
12431,-0.0163906868547,0.0120903337374,887.928571429,-0.0037853717804,1,0.0924634272233,1.63906872272,-20.7142857143,14,-0.0167518313974,284.57448387145996
12431,-0.0168663281947,0.0181050472893,887.928571429,0.0142459273338,,0.0822912398726,1.68663287163,-20.7142857143,14,-0.0180896278471,291.386216878891
12431,-0.016671014484,0.00839866138995,887.928571429,0.00231474637985,,0.087314421311,1.66710147262,-20.7142857143,14,-0.0139491567388,298.0724070072174
12431,-0.0167571450584,0.0119535927661,887.928571429,0.00277543067932,,0.0776631291956,1.6757145524,-20.7142857143,14,-0.0129428729415,304.62616086006165
12431,-0.017234145198,0.0104079667944,887.928571429,-0.000440239906311,,0.0547295622528,1.72341457009,-20.7142857143,14,-0.0156634191517,311.1038739681244
13710,-0.0174820111133,0.00504973414354,914.0,0.00360155105591,1,0.101366488263,1.74820116162,-20.7333333333,15,-0.00680287042633,317.55338501930237
13710,-0.0175949367695,0.00516898173373,914.0,0.000249683856964,,0.0957791563123,1.75949370861,-20.7333333333,15,-0.0119995251298,324.19817900657654
13710,-0.0176140726544,0.00869335513562,914.0,-0.0176955461502,,0.084288040176,1.76140728593,-20.7333333333,15,-0.00804702471942,330.63639283180237
14466,-0.0173984095454,0.00453794095665,904.125,0.000617325305939,1,0.125494835898,1.73984098434,-20.75,16,-0.00721446052194,337.32061100006104
14466,-0.0172879849561,0.00485200923868,904.125,0.00286883115768,,0.0856425631791,1.72879850864,-20.75,16,-0.0079097058624,343.99309492111206
14466,-0.0173727707006,0.00884423078969,904.125,0.00261229276657,,0.101734599099,1.73727712035,-20.75,16,-0.0110369664617,350.508141040802
14466,-0.0174408340827,0.00659921590704,904.125,-3.99351119995e-05,,0.133646797389,1.74408346415,-20.75,16,-0.0197125966661,357.14262294769287
14466,-0.0174158290029,0.00208080216544,904.125,-0.00964319705963,,0.0686827851459,1.74158295989,-20.75,16,-0.00387004576623,363.71587085723877
14466,-0.0174751295708,0.0029261711752,904.125,0.00746458768845,,0.136991459876,1.7475129962,-20.75,16,-0.0104144252837,369.9433250427246
15952,-0.0175023479387,0.00111371299135,938.352941176,-0.00211703777313,1,0.144482430071,1.7502348423,-20.4705882353,17,-0.00167655479163,375.9025459289551
15952,-0.0172409564257,0.00603950279765,938.352941176,-0.000412583351135,,0.0878265481442,1.72409570217,-20.4705882353,17,-0.00810514111072,382.1433758735657
15952,-0.0166955874301,0.0167340389453,938.352941176,-0.00521600246429,,0.0955695658922,1.6695587635,-20.4705882353,17,-0.0207195235416,388.30948996543884
16831,-0.0163415726274,0.00820633419789,935.055555556,-0.00107395648956,1,0.0765009485185,1.6341573298,-20.5,18,-0.00882668793201,394.82401490211487
16831,-0.0158064812422,0.0107747530565,935.055555556,-0.00570607185364,,0.095296761021,1.58064821362,-20.5,18,-0.0181650500745,401.39402294158936
16831,-0.0154785255436,0.00471219443716,935.055555556,0.00299817323685,,0.0905076824129,1.54785257578,-20.5,18,-0.00743319652975,407.80688285827637
16831,-0.0158899612725,0.00597669673152,935.055555556,0.00338840484619,,0.0850675106049,1.58899614215,-20.5,18,-0.0105934403837,414.25154399871826
